건강기능식품유통전문판매업,주식회사 리셀코리아,대구광역시 북구 대불서길 31  1층 (산격동),대구광역시 북구 산격동 481-55 ,070-4735-2288,2020-10-13
건강기능식품유통전문판매업,(주)뉴트리션닥터스,대구광역시 북구 호국로51길 5  402호 (서변동),대구광역시 북구 서변동 1779 ,000-000-0000,2020-10-13
건강기능식품유통전문판매업,주식회사네이쳐에이치앤비,대구광역시 북구 경대로 107  3층 304호 (복현동),대구광역시 북구 복현동 683 ,000-000-0000,2020-10-13
건강기능식품유통전문판매업,르보네르,대구광역시 북구 구암로60길 8-13  1층 (구암동),대구광역시 북구 구암동 819-10 ,000-000-0000,2020-10-13
건강기능식품유통전문판매업,준헬스케어,대구광역시 북구 대현로9길 58  601호 (산격동),대구광역시 북구 산격동 1382-80 ,000-000-0000,2020-10-13
건강기능식품유통전문판매업,미엘드,대구광역시 북구 구암로65길 2  3층 (구암동),대구광역시 북구 구암동 784-5 ,070-4143-6299,2020-10-13
건강기능식품유통전문판매업,(주)엔유씨,대구광역시 북구 노원로 280 (침산동),대구광역시 북구 침산동 679 ,053-351-0002,2020-10-13
건강기능식품유통전문판매업,제이에스헬스케어,대구광역시 북구 노원동로11길 7-3  2층 (노원동3가),대구광역시 북구 노원동3가 1145-4 ,000-000-0000,2020-10-13
건강기능식품일반판매업,네이처스비타민샵,대구광역시 북구 태평로 161  롯데백화점지하2층 식품관 (칠성동2가),대구광역시 북구 칠성동2가 302-155 롯데백화점 대구역 ,000-000-0000,2020-10-13
건강기능식품일반판매업,미즈웰빙,대구광역시 북구 칠곡중앙대로 411  2층 (태전동),대구광역시 북구 태전동 940 ,000-000-0000,2020-10-13
건강기능식품일반판매업,지에스25북구태전로점,대구광역시 북구 태전로 87 (태전동),대구광역시 북구 태전동 329-2 ,000-000-0000,2020-10-13
건강기능식품일반판매업,나원,대구광역시 북구 칠성로17길 5 (칠성동2가),대구광역시 북구 칠성동2가 421-4 ,053-421-3989,2020-10-13
건강기능식품일반판매업,점핑투게더,대구광역시 북구 팔거천동로 217  4층 403호 (동천동),대구광역시 북구 동천동 952-1 ,070-7573-4815,2020-10-13
건강기능식품일반판매업,김숙현산부인과,대구광역시 북구 침산남로 154 (침산동  메이저타워302호),대구광역시 북구 침산동 265-11 메이저타워302호 ,053-642-0425,2020-10-13
