메가박스(주)대구지점 1관,대구광역시 북구 침산로 93 (칠성동2가),대구광역시 북구 칠성동2가 20,1544-0070,192,35.88522335,128.5897872,2021-05-31
메가박스(주)대구지점  2관,대구광역시 북구 침산로 93 (칠성동2가),대구광역시 북구 칠성동2가 20,1544-0070,192,35.88522335,128.5897872,2021-05-31
메가박스(주)대구지점 COMFORT 3관,대구광역시 북구 침산로 93 (칠성동2가),대구광역시 북구 칠성동2가 20,1544-0070,217,35.88522335,128.5897872,2021-05-31
메가박스(주)대구지점 COMFORT 4관,대구광역시 북구 침산로 93 (칠성동2가),대구광역시 북구 칠성동2가 20,1544-0070,337,35.88522335,128.5897872,2021-05-31
메가박스(주)대구지점  5관,대구광역시 북구 침산로 93 (칠성동2가),대구광역시 북구 칠성동2가 20,1544-0070,185,35.88522335,128.5897872,2021-05-31
메가박스(주)대구지점  6관,대구광역시 북구 침산로 93 (칠성동2가),대구광역시 북구 칠성동2가 20,1544-0070,202,35.88522335,128.5897872,2021-05-31
메가박스(주)대구지점  7관,대구광역시 북구 침산로 93 (칠성동2가),대구광역시 북구 칠성동2가 20,1544-0070,147,35.88522335,128.5897872,2021-05-31
메가박스(주)대구지점  8관,대구광역시 북구 침산로 93 (칠성동2가),대구광역시 북구 칠성동2가 20,1544-0070,202,35.88522335,128.5897872,2021-05-31
메가박스(주)대구지점  9관,대구광역시 북구 침산로 93 (칠성동2가),대구광역시 북구 칠성동2가 20,1544-0070,167,35.88522335,128.5897872,2021-05-31
메가박스(주)대구지점  10관,대구광역시 북구 침산로 93 (칠성동2가),대구광역시 북구 칠성동2가 20,1544-0070,167,35.88522335,128.5897872,2021-05-31
메가박스 북대구지점 제1관,"대구광역시 북구 동암로 100, 6층 (동천동)","대구광역시 북구 동천동 895-2, 6층",070-5057-5928,119,35.94407907,128.5617173,2021-05-31
메가박스 북대구지점 제2관,"대구광역시 북구 동암로 100, 6층 (동천동)","대구광역시 북구 동천동 895-2, 6층",070-5057-5928,112,35.94407907,128.5617173,2021-05-31
메가박스 북대구지점 제3관,"대구광역시 북구 동암로 100, 8층 (동천동)","대구광역시 북구 동천동 895-2, 지상8층",070-5057-5928,138,35.94407907,128.5617173,2021-05-31
메가박스 북대구지점 제4관,"대구광역시 북구 동암로 100, 8층 (동천동)","대구광역시 북구 동천동 895-2, 지상8층",070-5057-5928,153,35.94407907,128.5617173,2021-05-31
메가박스 북대구지점 제5관,"대구광역시 북구 동암로 100, 10층 (동천동)","대구광역시 북구 동천동 895-2, 지상10층",070-5057-5928,145,35.94407907,128.5617173,2021-05-31
메가박스 북대구지점 제6관,"대구광역시 북구 동암로 100, 10층 (동천동)","대구광역시 북구 동천동 895-2, 지상10층",070-5057-5928,162,35.94407907,128.5617173,2021-05-31
CGV대구칠곡 1관,대구광역시 북구 동암로 90 (동천동),대구광역시 북구 동천동 894-1,053-322-1500,236,35.94413969,128.5603211,2021-05-31
CGV대구칠곡 2관,대구광역시 북구 동암로 90 (동천동),대구광역시 북구 동천동 894-1,053-322-1500,173,35.94413969,128.5603211,2021-05-31
CGV대구칠곡 3관,대구광역시 북구 동암로 90 (동천동),대구광역시 북구 동천동 894-1,053-322-1500,187,35.94413969,128.5603211,2021-05-31
